iter	Accuracy	Logloss
174	0.9796369332	0.06851585515
175	0.9797767895	0.06832727224
176	0.979720847	0.06820226406
177	0.9797488182	0.06801166485
178	0.9798047607	0.06785770669
179	0.9798886744	0.06768936566
180	0.9802802719	0.06727620369
181	0.9803082431	0.06717869173
182	0.9806718693	0.06696297587
183	0.9806718693	0.06681260634
184	0.9809236105	0.06662612703
185	0.9809236105	0.06631683554
186	0.9810075243	0.06606209146
187	0.9814270929	0.06490131004
188	0.9817347766	0.06473401332
189	0.9818466616	0.06441005486
190	0.9818746329	0.06413350535
191	0.9819305754	0.06403396825
192	0.9823221728	0.06382089977
193	0.9822942016	0.06358417821
194	0.9825179715	0.06343823898
195	0.982462029	0.06332768303
196	0.9824900003	0.06311642221
197	0.9827417415	0.06283774592
198	0.9829375402	0.06251208611
199	0.9830773964	0.0621998185
200	0.9831053677	0.06206876725
201	0.9831892814	0.06160589972
202	0.9831333389	0.06126711253
203	0.9834969651	0.06092174958
204	0.9834689939	0.06074043389
205	0.9835249364	0.0605890667
206	0.9836088501	0.06042343254
207	0.9836647926	0.06033708533
208	0.9837207351	0.06026105806
209	0.9838885626	0.05999002166
210	0.983944505	0.05973623041
211	0.9840843613	0.05957352672
212	0.9840004475	0.05947507372
213	0.9838046488	0.05825070729
214	0.9838046488	0.0580088492
215	0.9838605913	0.05780178392
216	0.98405639	0.05726301582
217	0.9841123325	0.05713977572
218	0.98428016	0.05696309441
219	0.9843361025	0.05661147265
220	0.9844759587	0.05619251041
221	0.9846717574	0.05594843689
222	0.9845878437	0.05564696567
223	0.9850074124	0.0553720332
224	0.9849514699	0.05526097008
225	0.9852871248	0.05506234875
226	0.9853990098	0.05473259756
227	0.9854269811	0.0545587502
228	0.9855948085	0.05441422089
229	0.985650751	0.05424619541
230	0.9857346648	0.05412607888
231	0.985762636	0.0539880457
232	0.9857066935	0.05362085329
233	0.985874521	0.05331076166
234	0.9863220609	0.05301946423
235	0.9864619171	0.05266406388
236	0.9865458309	0.05259759748
237	0.9867136584	0.05247083412
238	0.9866297446	0.05235901296
239	0.9867136584	0.05228947615
240	0.9866856871	0.0521959389
241	0.9868814858	0.05204681281
242	0.9869374283	0.05188674592
243	0.9869653996	0.05172679366
244	0.987133227	0.0514146267
245	0.9871052558	0.05116502944
246	0.9871891695	0.05097580376
247	0.9872171408	0.05090967966
248	0.9875248245	0.05075153473
249	0.987580767	0.05067669734
250	0.9876087382	0.05055394788
251	0.9876646807	0.0504422856
252	0.9878604794	0.05021486049
253	0.9878325082	0.05011648748
254	0.9879164219	0.04997081312
255	0.9880003357	0.04974042414
256	0.9879443932	0.04963724312
257	0.9880842494	0.04952763426
258	0.9881961344	0.04934709489
259	0.9880283069	0.04864898453
260	0.9880562781	0.04849881259
